,fname,lname,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
965,Justin,Hamilton,113,6.1,3.6,0.8,46.4,30.9,79.8,52.3,13.9,3.7
966,Richard,Hamilton,921,17.1,3.1,3.4,44.9,34.6,85.2,46.9,16.5,62.8
967,Roylee,Hamilton,73,4.6,1.5,2.6,40.0,0.0,68.4,40.0,9.1,-0.4
968,Tang,Hamilton,9,2.2,2.0,0.6,52.6,0.0,0.0,52.6,10.9,0.2
969,Thomas,Hamilton,33,3.2,3.4,0.5,40.0,-,46.3,40.0,9.9,-0.3
970,Zendon,Hamilton,134,4.4,3.5,0.2,44.0,-,66.0,44.0,14.0,3.0
971,Geert,Hammink,8,1.8,0.9,0.3,40.0,-,66.7,40.0,14.0,0.1
972,Tom,Hammonds,687,5.3,3.3,0.6,48.0,0.0,69.1,48.0,11.0,14.7
973,AJ,Hammons,22,2.2,1.6,0.2,40.5,50.0,45.0,46.4,8.4,0.0
974,Darrin,Hancock,133,3.5,1.3,0.7,53.0,33.3,57.9,53.2,10.5,1.1
975,Ben,Handlogten,38,4.3,3.2,0.5,52.3,0.0,61.4,52.3,12.8,0.9
976,Ben,Hansbrough,28,2.0,0.6,0.8,33.3,26.1,77.8,40.0,7.2,0.2
977,Tyler,Hansbrough,428,6.7,4.2,0.4,43.9,13.6,73.8,44.0,14.8,20.2
978,Bob,Hansen,575,6.9,2.2,1.6,46.8,32.3,66.2,49.1,10.0,15.4
979,Travis,Hansen,41,3.0,1.7,0.5,35.4,30.0,81.5,38.8,7.2,0.2
980,Reggie,Hanson,8,0.8,0.8,0.1,50.0,-,-,50.0,6.9,0.0
981,Bill,Hanzlik,748,7.2,2.8,2.8,43.4,21.3,78.1,43.9,11.2,24.7
982,Luke,Harangody,70,3.6,2.8,0.5,37.6,24.1,73.7,41.5,10.2,0.9
983,Tim,Hardaway Jr.,867,17.7,3.3,8.2,43.1,35.5,78.2,49.0,18.6,85.0
984,Anfernee,Hardaway,704,15.2,4.5,5.0,45.8,31.6,77.4,48.6,17.4,61.9
985,Tim,Hardaway,867,17.7,3.3,8.2,43.1,35.5,78.2,49.0,18.6,85.0
986,Reggie,Harding,230,9.5,9.6,1.7,41.9,0.0,60.2,41.9,12.9,7.3
987,Alan,Hardy,60,3.2,0.9,0.4,43.1,0.0,64.1,43.1,9.7,0.0
988,James,Hardy,249,5.7,5.3,1.3,48.1,33.3,70.0,48.2,11.4,6.3
989,Jerry,Harkness,86,7.2,2.7,1.8,44.0,20.0,66.5,44.1,13.8,3.4
990,Jerome,Harmon,10,4.6,2.3,1.2,39.6,100.0,50.0,40.6,10.1,0.0
991,Derek,Harper,1199,13.3,2.4,5.5,46.3,35.4,74.5,50.3,16.0,86.8
992,Justin,Harper,22,2.0,0.8,0.2,34.0,27.6,33.3,41.5,3.6,-0.3
993,Mike,Harper,123,5.0,3.5,0.6,47.4,0.0,55.9,47.4,11.3,2.4
994,Ron,Harper,1009,13.8,4.3,3.9,44.6,28.9,72.0,46.8,15.6,65.8
995,Matt,Harpring,665,11.5,5.1,1.4,48.1,33.3,75.3,49.4,15.3,41.9
996,Josh,Harrellson,75,3.5,3.0,0.3,43.8,34.7,62.9,50.6,13.4,2.1
997,Adam,Harrington,19,1.6,0.4,0.6,29.7,35.7,75.0,36.5,7.4,0.0
998,Al,Harrington,981,13.5,5.6,1.7,44.4,35.2,72.7,48.7,14.3,42.5
999,Junior,Harrington,140,5.2,2.7,3.1,37.1,27.4,68.9,38.4,7.1,-0.9
1000,Othella,Harrington,709,7.4,4.4,0.6,50.5,0.0,73.8,50.5,12.5,23.1
1001,Devin,Harris,985,10.8,2.2,3.9,43.2,32.5,79.6,48.3,16.0,54.9
1002,Elias,Harris,2,0.0,0.5,0.5,0.0,-,-,0.0,7.6,0.0
1003,Lucious,Harris,800,7.2,2.3,1.4,42.6,34.8,79.0,46.5,12.8,28.7
1004,Manny,Harris,93,6.2,2.7,1.4,38.0,35.3,73.8,43.0,10.7,0.1
1005,Mike,Harris,54,3.4,2.1,0.2,46.4,0.0,78.2,46.4,14.4,1.0
1006,Steve,Harris,207,7.0,1.8,1.1,43.4,5.0,84.2,43.5,13.3,3.1
1007,Terrel,Harris,42,2.3,1.8,0.8,30.0,17.0,67.7,33.6,3.5,-0.6
1008,Tobias,Harris,14,4.9,0.8,0.6,29.1,25.0,86.8,31.8,9.7,0.0
1009,Tony,Harris,14,4.9,0.8,0.6,29.1,25.0,86.8,31.8,9.7,0.0
1010,Aaron,Harrison,35,2.3,1.2,0.5,26.1,21.8,61.3,32.6,4.5,-0.1
1011,Andrew,Harrison,145,7.0,2.0,2.8,37.3,29.4,77.9,42.9,10.3,3.2
1012,David,Harrison,189,5.0,2.9,0.2,53.0,-,52.5,53.0,10.9,3.2
1013,Jason,Hart,341,4.8,1.7,2.3,41.7,31.5,78.8,43.9,12.2,8.6
1014,Antonio,Harvey,187,3.0,2.3,0.3,40.7,33.3,51.1,40.8,9.7,0.3
1015,Donnell,Harvey,205,5.6,4.0,0.8,46.0,10.0,65.9,46.0,12.5,4.7
1016,Scott,Haskin,27,2.0,2.0,0.2,46.7,-,68.4,46.7,11.3,0.3
1017,Trenton,Hassell,644,5.8,2.8,1.8,44.5,31.8,76.5,45.9,8.4,13.8
1018,Joey,Hassett,292,5.9,1.1,1.3,42.1,33.6,86.1,47.8,12.9,6.4
1019,Scott,Hastings,578,2.8,2.2,0.5,44.1,29.2,81.1,45.2,9.2,9.8
1020,Kirk,Haston,27,1.2,1.0,0.3,23.2,0.0,50.0,23.2,-1.5,-0.5
1021,Spencer,Hawes,684,8.7,5.7,1.9,45.7,35.0,71.6,49.0,14.0,22.6
1022,Steve,Hawes,688,8.4,6.2,1.9,48.3,29.8,79.0,48.5,14.3,37.1
1023,Connie,Hawkins,616,18.7,8.8,4.1,47.9,16.1,77.9,48.0,19.9,76.7
1024,Hersey,Hawkins,983,14.7,3.6,2.9,46.1,39.4,87.0,51.8,16.3,90.6
1025,Juaquin,Hawkins,58,2.3,1.3,0.8,38.5,41.7,50.0,41.9,7.3,0.4
1026,Michael,Hawkins,75,1.8,0.9,1.6,37.7,30.5,80.0,44.6,8.6,0.2
1027,Chuck,Hayes,644,3.7,5.0,1.2,49.8,0.0,62.0,49.8,12.2,28.8
1028,Elvin,Hayes,1303,21.0,12.5,1.8,45.2,14.7,67.0,45.2,17.7,120.8
1029,Jarvis,Hayes,427,8.3,3.1,1.1,41.5,35.6,79.8,47.4,10.8,10.2
1030,Jaxson,Hayes,427,8.3,3.1,1.1,41.5,35.6,79.8,47.4,10.8,10.2
1031,Nigel,Hayes,9,3.0,2.4,0.7,33.3,25.0,33.3,39.4,6.4,-0.1
1032,Steve,Hayes,212,2.6,2.5,0.4,48.2,0.0,50.0,48.2,8.4,2.9
1033,Lazar,Hayward,72,2.9,1.3,0.5,34.7,26.9,76.7,39.9,9.0,0.2
1034,Brendan,Haywood,816,6.8,6.0,0.5,52.8,0.0,58.7,52.8,14.6,43.8
1035,Spencer,Haywood,844,20.3,10.3,1.8,46.9,5.3,79.6,46.9,19.1,78.5
1036,Luther,Head,348,8.2,2.4,2.1,42.3,38.8,77.3,51.5,12.3,14.7
1037,Shane,Heal,49,2.0,0.4,0.8,27.3,28.9,70.0,37.2,5.0,-0.4
1038,Garfield,Heard,787,8.7,7.5,1.6,41.4,0.0,65.4,41.4,13.1,27.0
1039,Reggie,Hearn,3,1.0,0.0,0.0,50.0,50.0,-,75.0,13.1,0.0
1040,Alvin,Heggs,4,2.0,0.5,0.0,60.0,-,66.7,60.0,20.7,0.1
1041,Alan,Henderson,652,7.8,5.0,0.6,46.9,19.2,63.9,46.9,14.5,28.0
1042,Cedric,Henderson,8,1.4,1.0,0.0,50.0,-,100.0,50.0,15.3,0.0
1043,Cedric,Henderson,8,1.4,1.0,0.0,50.0,-,100.0,50.0,15.3,0.0
1044,Dave,Henderson,22,5.7,1.6,1.5,40.5,0.0,68.1,40.5,6.7,-0.4
1045,Gerald,Henderson,871,8.9,1.7,3.6,47.2,33.2,77.6,48.7,13.4,32.1
1046,Gerald,Henderson,871,8.9,1.7,3.6,47.2,33.2,77.6,48.7,13.4,32.1
1047,Jerome,Henderson,7,2.3,1.1,0.0,37.5,-,100.0,37.5,0.7,-0.1
1048,Kevin,Henderson,22,3.0,1.1,1.5,39.3,0.0,60.7,39.3,6.4,-0.2
