fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws,,,
Ryan,Stack,South Carolina,1999,215lb,83,Nashville,Tennessee,43,2.3,1.8,0.2,35.2,0,78.7,35.2,7.2,0.2,,,
Greg,Stiemsma,Wisconsin,2011,260lb,83,Randolph,Wisconsin,203,3.2,3.3,0.5,50.9,0,70.5,50.9,11,6,,,
Steve,Stipanovich,Missouri,1983,245lb,83,St. Louis,Missouri,403,13.2,7.8,2.3,48.4,17.9,79.6,48.6,15.1,30.4,,,
Diamond,Stone,Maryland,2016,255lb,83,Milwaukee,Wisconsin,7,1.4,0.9,0,23.1,-,100,23.1,-1.2,-0.1,,,
Barry,Sumpter,Austin Peay State University,1989,215lb,83,Brooklyn,Illinois,1,0,0,0,0,-,-,0,-30.2,0,,,
Brett,Szabo,Augustana College (SD),1996,230lb,83,Postville,Iowa,70,2.2,2.4,0.2,44.6,0,73.8,44.6,8.8,0.4,,,
Roy,Tarpley,Michigan,1986,230lb,83,New York,New York,280,12.6,10,1,48.3,17.6,74.4,48.4,18.4,19.8,,,
Kevin,Thompson,NC State,1993,260lb,83,Wston-Salem,North Carolina,14,0.9,0.9,0.2,42.9,0,50,42.9,4.9,0,,,
Darren,Tillis,Cleveland State University,1982,215lb,83,Dallas,Texas,124,3.4,2.5,0.3,42.3,0,62.6,42.3,10,0.9,,,
Keith,Tower,Notre Dame,1993,250lb,83,Libby,Montana,53,1.8,1.3,0.1,42.9,0,55.6,42.9,5.9,0,,,
Mel,Turpin,Kentucky,1984,240lb,83,Lexgton,Kentucky,361,8.5,4.6,0.5,51.6,11.1,77.7,51.6,14.3,13.7,,,
David,Vaughn,Oral Roberts,1974,220lb,83,Nashville,Tennessee,93,10.7,9.8,1.5,42.1,0,54.9,42.1,13.6,1.6,,,
Charlie,Villanueva,UConn,2005,232lb,83,Queens,New York,656,10.4,4.6,0.8,43.5,34.1,77.2,49.4,16,22.6,,,
Jake,Voskuhl,UConn,2000,245lb,83,Tulsa,Oklahoma,450,4,3.4,0.5,48.7,33.3,71.4,48.8,10.8,11.6,,,
Granville,Waiters,Ohio State,1983,225lb,83,Columbus,Ohio,249,2.4,2.2,0.5,45.8,0,55.9,45.8,8.3,1.9,,,
Bill,Walton,UCLA,1974,210lb,83,La Mesa,California,468,13.3,10.5,3.4,52.1,0,66,52.1,20,39.3,,,
Chris,Washburn,NC State,1986,225lb,83,Hickory,North Carolina,72,3.1,2.4,0.3,41.2,0,43.9,41.2,7.6,-0.6,,,
Richard,Washington,UCLA,1976,220lb,83,Portland,Oregon,351,9.8,6.3,1.2,45.3,25,71.1,45.3,13.3,10.8,,,
Darryl,Watkins,Syracuse,2007,258lb,83,Paterson,New Jersey,14,2.5,2.8,0.2,41.4,-,47.8,41.4,6.5,-0.1,,,
Robert,Werdann,St. John's,1992,250lb,83,Sunnyside,New York,47,2.1,1.7,0.2,37.8,0,57.4,37.8,9.8,0.1,,,
Shayne,Whittington,Western Michigan,2014,250lb,83,Paw Paw,Michigan,27,2.5,1.5,0.3,45.3,12.5,76,46.2,16.5,0.4,,,
Jeff,Wilkins,Illinois State,1980,230lb,83,Chicago,Illinois,454,7.9,5.7,1,45.9,0,74.3,45.9,10.5,8.8,,,
Hot Rod,Williams,Tulane,1986,215lb,83,Sorrento,Louisiana,887,11,6.8,1.8,48,10.5,72.6,48,15.6,70.5,,,
Joe,Wolf,UNC,1987,230lb,83,Kohler,Wisconsin,592,4.2,3.3,1,42.3,16.4,77,42.7,7.8,3.5,,,
Bracey,Wright,UCLA,1987,225lb,83,Hollywood,California,16,3.4,3.4,0.1,41.2,0,42.9,41.2,9.5,-0.1,,,
Brad,Wright,UCLA,1987,225lb,83,Hollywood,California,16,3.4,3.4,0.1,41.2,0,42.9,41.2,9.5,-0.1,,,
Brandan,Wright,UCLA,1987,225lb,83,Hollywood,California,16,3.4,3.4,0.1,41.2,0,42.9,41.2,9.5,-0.1,,,
Sharone,Wright,Clemson,1994,260lb,83,Macon,Georgia,203,9.7,5,0.6,45.6,8.3,61.8,45.6,12.8,1.4,,,
Luke,Zeller,Notre Dame,2012,245lb,83,Ames,Iowa,16,1.2,0.6,0.2,34.6,20,-,36.5,5.6,-0.1,,,
Alaa,Abdelnaby,Duke,1990,240lb,82,Cairo,Egypt,256,5.7,3.3,0.3,50.2,0,70.1,50.2,13,4.8,,,
Henry,Akin,Morehead State University,1968,225lb,82,Detroit,Michigan,88,3.5,2.1,0.5,35,0,67.6,35,7.4,-1.2,,,
Malik,Allen,Villanova,2001,255lb,82,Willgboro,New Jersey,478,4.9,2.8,0.5,43.9,18.8,77.8,44,9.9,6.6,,,
Peter,Aluma,Liberty,1999,260lb,82,Lagos,Nigeria,2,1,1,0,50,-,-,50,3.1,0,,,
John,Amaechi,Penn State,1995,270lb,82,Boston,Massachusetts,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5,,,
Chris,Andersen,Blinn College,2001,245lb,82,Long Beach,California,695,5.4,5,0.5,53.2,22.1,65.4,53.5,16.7,39.7,,,
David,Andersen,Augsburg College,1967,230lb,82,Mneapolis,Minnesota,140,12.2,9.4,1.1,48.1,-,72.7,48.1,17.5,10.9,,,
Daniel,Anderson,Augsburg College,1967,230lb,82,Mneapolis,Minnesota,140,12.2,9.4,1.1,48.1,-,72.7,48.1,17.5,10.9,,,
Greg,Anderson,Houston,1987,230lb,82,Houston,Texas,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13,18.7,,,
Richard,Anderson,UC Santa Barbara,1982,240lb,82,San Pedro,California,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6,,,
Ike,Anigbogu,UCLA,2017,250lb,82,San Diego,California,14,0.9,0.9,0.1,33.3,-,83.3,33.3,17,0,,,
James,Augustine,Illinois,2007,235lb,82,Midlothian,Illinois,27,1.6,1.2,0.1,51.4,-,50,51.4,11.1,0.3,,,
Dennis,Awtrey,Santa Clara,1970,235lb,82,Hollywood,California,733,4.8,4.6,2,45.9,-,65.2,45.9,10.5,22.4,,,
Dave,Batton,Notre Dame,1982,240lb,82,Baltimore,Maryland,58,3.2,2.1,0.6,44.8,0,47.1,44.8,10.2,0.7,,,
Jerome,Beasley,University of North Dakota,2003,237lb,82,Compton,California,2,1,0.5,0,33.3,-,-,33.3,5.9,0,,,
Keith,Benson,Indiana,1977,235lb,82,New Castle,Indiana,680,9.1,5.7,1.8,49.3,20.6,75.7,49.4,14.2,33.6,,,
Kent,Benson,Indiana,1977,235lb,82,New Castle,Indiana,680,9.1,5.7,1.8,49.3,20.6,75.7,49.4,14.2,33.6,,,
Matt,Bonner,Florida,2004,235lb,82,Concord,New Hampshire,792,5.8,3,0.7,46.4,41.4,78,57,13.6,38.5,,,
Josh,Boone,UConn,2006,237lb,82,Mount Airy,Maryland,256,5.2,4.9,0.5,54.4,-,44.5,54.4,14.2,9.1,,,
Cal,Bowdler,Old Dominion,1999,245lb,82,Sharps,Virginia,142,3,1.9,0.2,40.4,18.2,76.8,40.7,11.3,1.8,,,
Nate,Bowman,Wichita State,1971,230lb,82,Fort Worth,Texas,261,2.9,3.4,0.7,38.8,0,52.9,38.8,9.2,1,,,
Craig,Brackins,Iowa State,2010,230lb,82,Los Angeles,California,17,1.8,1.1,0.5,26.5,21.4,50,29.6,3.1,-0.2,,,
Michael,Bradley,Villanova,2001,245lb,82,Worcester,Massachusetts,173,2.8,3.4,0.5,47.7,14.3,51.1,47.9,11.3,2,,,
Brad,Branson,SMU,1982,220lb,82,Harvey,Illinois,72,5.4,2.9,0.7,42.2,0,72.5,42.2,14.4,0.9,,,
Rickey,Brown,Mississippi State,1980,215lb,82,Madison County,Mississippi,340,4.4,3.5,0.4,46.4,0,66.7,46.4,9.8,4.7,,,
Matt,Bullard,Iowa,1991,215lb,82,Des Moes,Iowa,615,5.3,2,0.9,41.8,38.4,76.8,52.1,11.9,16.8,,,
Jim,Caldwell,Georgia Tech,1967,240lb,82,Durham,North Carolina,137,7.1,7.7,2,42.5,13.3,63.1,42.6,13.2,5.7,,,
Jimmy,Carruth,Virginia Tech,1997,265lb,82,El Paso,Texas,4,1.3,1,0,66.7,-,100,66.7,9.7,0,,,
Tom,Chambers,Utah,1981,220lb,82,Ogden,Utah,1107,18.1,6.1,2.1,46.8,30.7,80.7,47.6,16.5,79,,,
Mike,Champion,Gonzaga,1989,230lb,82,Everett,Washington,2,0,0,0,0,0,-,0,-43.7,-0.1,,,
Pete,Chilcutt,UNC,1991,230lb,82,Sumter,South Carolina,584,4.3,3.3,0.8,44.1,38.1,69.6,48.1,11.9,10.6,,,
Bob,Christian,Grambling State University,1969,255lb,82,</span,],248,3.8,4.1,0.8,48.5,-,70.4,48.5,12.3,5.7,,,
Earl,Clark,Louisville,2009,225lb,82,Plafield,New Jersey,261,4.4,3,0.5,40.3,32.8,66.4,43.9,10.2,2.9,,,
Derrick,Coleman,Syracuse,1990,230lb,82,Mobile,Alabama,781,16.5,9.3,2.5,44.7,29.5,76.9,46.2,18,64.3,,,
Nick,Collison,Kansas,2004,255lb,82,Orange City,Iowa,910,5.9,5.2,1,53.4,20.8,72.3,53.6,13.2,44.5,,,
Marty,Conlon,Providence,1991,224lb,82,Bronx,New York,379,6.5,3.5,1,49.8,20,73.5,50.2,13.2,8.9,,,
Jeff,Cook,Idaho State University,1979,215lb,82,West Cova,California,518,5.3,4.5,1.4,46.2,5.6,71.6,46.2,10.9,17.7,,,
Joe,Cooper,Colorado,1981,230lb,82,Houston,Texas,24,4.5,4,0.8,50.6,-,54.3,50.6,10.5,0.3,,,
Wayne,Cooper,New Orleans,1978,220lb,82,Milan,Georgia,984,7.9,6.2,0.9,45.7,14.6,73.6,45.7,13.4,36.9,,,
Tom,Copa,Marquette,1991,275lb,82,Robbsdale,Minnesota,33,1.5,1.1,0.1,55,-,30.8,55,10.7,0.2,,,
DeMarcus,Cousins,Kentucky,2010,270lb,82,Mobile,Alabama,565,21.2,10.9,3.2,46.1,33.2,73.7,47.9,22.4,44.1,,,
Jeff,Cross,University of Maine,1986,240lb,82,Chicago,Illinois,21,1.2,1.4,0,25,-,56,25,1.5,-0.1,,,
Russell,Cross,Purdue,1983,215lb,82,Chicago,Illinois,45,3.7,1.8,0.5,57.1,-,41.8,57.1,15.3,0.8,,,
Jermareo,Davidson,Alabama,2007,230lb,82,Atlanta,Georgia,52,3.1,1.8,0.3,42.5,-,57.8,42.5,10.5,0,,,
Brandon,Davies,BYU,2013,240lb,82,Philadelphia,Pennsylvania,78,3.7,2.5,0.7,41.1,22.7,64.4,43,8.7,0.3,,,
Tyler,Davis,Texas A&amp;M,2018,266lb,82,San Jose,California,1,0,1,0,0,-,-,0,0,0,,,
Andrew,DeClercq,Florida,1996,230lb,82,Detroit,Michigan,587,4.8,4.2,0.6,50.7,0,62.1,50.7,12.1,19.3,,,
Angel,Delgado,Seton Hall,2019,245lb,82,Santo Domgo,Dominican Republic,2,1.5,2,0,20,-,50,20,4.3,0,,,
Randy,Denton,Duke,1971,240lb,82,Raleigh,North Carolina,413,11.5,8.6,1.3,47.3,21.4,77.9,47.3,17.3,20.2,,,
Coby,Dietrick,San Jose State,1970,220lb,82,Riverside,California,842,6.1,4.5,2.1,46.2,19.4,73.5,46.3,12.6,27.7,,,
Leon,Douglas,Alabama,1976,230lb,82,Leighton,Alabama,456,7.9,6.5,1.1,49.5,0,60.1,49.5,11.9,15.2,,,
Kevin,Durant,Texas, LAL,240lb,82,Washgton,District of Columbia,849,27,7.1,4.1,49.3,38.1,88.3,54.2,25.2,141.7,,,
Kevin,Durant,Texas, LAL,240lb,82,Washgton,District of Columbia,849,27,7.1,4.1,49.3,38.1,88.3,54.2,25.2,141.7,,,
Acie,Earl,Iowa,1993,240lb,82,Peoria,Illinois,193,5.1,2.7,0.3,40.3,0,66.7,40.3,10.6,0.3,,,
Melvin,Ely,Fresno State,2002,260lb,82,Harvey,Illinois,375,5.3,3.2,0.7,46,0,62.5,46,10.6,4,,,
Eric,Fernsten,San Francisco,1975,205lb,82,Oakland,California,218,2.4,1.7,0.4,44.5,-,67.5,44.5,11.7,3.3,,,
Danny,Ferry,Duke,1990,230lb,82,Hyattsville,Maryland,917,7,2.8,1.3,44.6,39.3,84,50.6,11.8,34.8,,,
Adonal,Foyle,Colgate,1997,250lb,82,Canouan,Saint Vincent and the Grenadines,733,4.1,4.7,0.5,47.7,0,49.9,47.7,12.3,18.7,,,
Tellis,Frank,Western Kentucky,1987,225lb,82,Gary,Indiana,264,6.5,3.9,1,43.9,0,74.1,43.9,10.3,4,,,
Matt,Freije,Vanderbilt,2004,240lb,82,Overland Park,Kansas,42,3.2,2,0.6,29.3,22.4,71.4,34,4.6,-0.6,,,
Chad,Gallagher,Creighton,1994,255lb,82,Rockford,Illinois,2,3,0,0,100,-,-,100,66.8,0.1,,,
Bill,Garnett,University of Portland,1967,220lb,82,East St. Louis,Illinois,53,1.5,2.2,0.5,27.2,0,50,27.2,-1.2,-0.7,,,
Dean,Garrett,Indiana,1996,225lb,82,Los Angeles,California,359,4.8,5,0.6,48,-,67.7,48,13.3,14.1,,,
Chris,Gatling,Old Dominion,1991,220lb,82,Elizabeth,New Jersey,700,10.3,5.3,0.7,51.3,24.9,66,51.7,17.6,32.1,,,
John,Gianelli,University of the Pacific,1972,220lb,82,Stockton,California,541,7.8,5.9,1.5,47,-,70.2,47,11.7,23,,,
Mike,Gibson,USC Upstate,1983,205lb,82,Williamsburg County,South Carolina,64,1.6,1.7,0.2,38.7,-,67.9,38.7,8.6,0.3,,,
Dan,Godfread,University of Evansville,1990,250lb,82,Fort Wayne,Indiana,11,1.2,0.2,0,41.7,0,75,41.7,18.5,0.1,,,
Drew,Gooden,Kansas,2002,250lb,82,Oakland,California,790,11,7.1,1.1,46.2,25.7,76,46.8,16.3,43.9,,,
Steve,Goodrich,Princeton,2001,220lb,82,Philadelphia,Pennsylvania,21,1.1,1.2,0.5,32.1,33.3,55.6,33.9,2.7,-0.2,,,
Horace,Grant,Clemson,1987,215lb,82,Augusta,Georgia,1165,11.2,8.1,2.2,50.9,6.3,69.2,50.9,16,118.2,,,
Mike,Green,Louisiana Tech,1973,200lb,82,McComb,Mississippi,459,11.5,6.9,1.3,48,8.3,73.2,48,16.3,27.6,,,
Eddie,Griffin,Seton Hall,2001,220lb,82,Philadelphia,Pennsylvania,303,7.2,5.8,0.8,37.7,31.5,67.1,43,14.3,10.9,,,
Tom,Gugliotta,NC State,1992,240lb,82,Huntgton Station,New York,763,13,7.3,2.8,45.1,28.4,75.7,46.3,15.9,40.2,,,
Jay,Guidinger,University of Minnesota Duluth,1992,255lb,82,Milwaukee,Wisconsin,64,1.5,1.5,0.3,40.2,-,60.9,40.2,9.9,0.4,,,
Marcus,Haislip,Tennessee,2002,230lb,82,Lewisburg,Tennessee,89,3.5,1.5,0.2,43.7,35,65.9,44.9,10.8,0.5,,,
Jack,Haley,UCLA,1988,240lb,82,Long Beach,California,341,3.5,2.7,0.2,42.5,0,65.5,42.5,9.7,2.9,,,
Ben,Handlogten,Western Michigan,2003,240lb,82,Grand Rapids,Michigan,38,4.3,3.2,0.5,52.3,0,61.4,52.3,12.8,0.9,,,
Justin,Harper,Richmond,2011,225lb,82,Richmond,Virginia,22,2,0.8,0.2,34,27.6,33.3,41.5,3.6,-0.3,,,
Mike,Harper,North Park University,1980,195lb,82,Chicago,Illinois,123,5,3.5,0.6,47.4,0,55.9,47.4,11.3,2.4,,,
Josh,Harrellson,Kentucky,2011,275lb,82,St. Charles,Missouri,75,3.5,3,0.3,43.8,34.7,62.9,50.6,13.4,2.1,,,
Scott,Hastings,Arkansas,1982,235lb,82,Independence,Kansas,578,2.8,2.2,0.5,44.1,29.2,81.1,45.2,9.2,9.8,,,
Jordan,Hill,Arizona,2009,235lb,82,Atlanta,Georgia,409,7.9,5.8,0.8,49.7,13.6,69.9,49.7,16.3,16.4,,,
Bernard,James,Florida State,2012,240lb,82,Savannah,Georgia,92,2.2,2.3,0.1,49.7,0,68,49.7,13.8,1.9,,,
Nathan,Jawai,Midland College,2009,280lb,82,Sydney,Australia,45,2.8,2.4,0.5,43.5,0,68.4,43.5,10.2,0.2,,,
Grant,Jerrett,Arizona,2014,235lb,82,Costa Mesa,California,8,2,1.1,0.4,26.9,6.7,100,28.8,1.5,-0.1,,,
Britton,Johnsen,Utah,2003,210lb,82,Salt Lake City,Utah,26,2.1,2.1,0.6,28.4,6.3,43.8,29,2.1,-0.7,,,
Brice,Johnson,Utah,2003,210lb,82,Salt Lake City,Utah,26,2.1,2.1,0.6,28.4,6.3,43.8,29,2.1,-0.7,,,
Clay,Johnson,Florida A&amp;M,1978,240lb,82,Monticello,Florida,761,5.4,4.6,1,49.2,0,62.1,49.2,12.7,25.5,,,
Clemon,Johnson,Florida A&amp;M,1978,240lb,82,Monticello,Florida,761,5.4,4.6,1,49.2,0,62.1,49.2,12.7,25.5,,,
Mickey,Johnson,Aurora University,1974,190lb,82,Chicago,Illinois,904,14.1,7.2,3,44.9,16.5,80,45,16.9,58.6,,,
Dwayne,Jones,Houston,1973,210lb,82,Houston,Texas,766,8.1,5.9,1.2,47.1,50,74,47.2,13.2,27.6,,,
Dwight,Jones,Houston,1973,210lb,82,Houston,Texas,766,8.1,5.9,1.2,47.1,50,74,47.2,13.2,27.6,,,
Eddie,Jones,Nevada,1980,225lb,82,Fort Rucker,Alabama,363,9,4.8,0.9,50.6,26.2,71,51,15.1,15,,,
Edgar,Jones,Nevada,1980,225lb,82,Fort Rucker,Alabama,363,9,4.8,0.9,50.6,26.2,71,51,15.1,15,,,
Solomon,Jones,South Florida,2006,230lb,82,Eustis,Florida,281,3,2.3,0.4,46.7,11.1,71.7,46.7,10.2,5,,,
Thomas,Jordan,Oklahoma State,1993,220lb,82,Baltimore,Maryland,4,11,4.8,0.8,43.9,-,47.1,43.9,6.9,-0.2,,,
Shawn,Kemp,Trinity Valley CC,1989,230lb,82,Elkhart,Indiana,1051,14.6,8.4,1.6,48.8,27.7,74.1,49,19.1,89.5,,,
Tim,Kempton,Notre Dame,1986,245lb,82,Jamaica,New York,280,4.5,2.8,1.1,48.1,0,67.7,48.1,9.8,3.3,,,
Carl,Kilpatrick,Louisiana-Monroe,1980,230lb,82,Bastrop,Louisiana,2,1.5,2,0,50,-,50,50,22.7,0,,,
Bruce,Kuczenski,UConn,1983,230lb,82,Bristol,Connecticut,15,1.9,1.5,0.5,27,-,66.7,27,-0.5,-0.4,,,
Sam,Lacey,New Mexico State,1970,235lb,82,Indianola,Mississippi,1002,10.3,9.7,3.7,44.1,18.8,73.8,44.1,14.2,50.9,,,
Tom,LaGarde,UNC,1977,220lb,82,Detroit,Michigan,312,7.6,5.1,1.5,46.2,0,64,46.2,11.5,6.5,,,
John,Lambert,USC,1975,225lb,82,Berkeley,California,446,3.8,3.3,0.6,42.8,8.3,69.3,42.8,10.4,6.9,,,
Jim,Lampley,Little Rock,1986,230lb,82,Harrisburg,Pennsylvania,1,3,5,0,33.3,-,50,33.3,8.3,0,,,
Keith,Lee,Memphis,1985,215lb,82,West Memphis,Arkansas,182,6.1,4.7,1,45.1,16.7,74.6,45.2,12.2,3.7,,,
Jon,Leuer,Wisconsin,2011,228lb,82,Long Lake,Minnesota,377,6.4,3.8,0.8,48.4,32.8,76.7,51.5,14.5,13.2,,,
Cedric,Lewis,Maryland,1996,235lb,82,Washgton,District of Columbia,3,1.3,0.7,0,66.7,-,-,66.7,62.7,0.1,,,
Scott,Lloyd,Arizona State,1976,230lb,82,Chicago,Illinois,372,4.6,3,1,42.5,28.6,71.8,42.6,8.5,2.5,,,
Tyler,Lydon,Syracuse,2017,225lb,82,Hudson,New York,26,0.9,0.7,0.2,50,40,33.3,61.1,9.1,0.2,,,
Vernon,Macklin,Florida,2011,227lb,82,Portsmouth,Virginia,23,2,1.5,0.2,54.3,-,57.1,54.3,18.2,0.5,,,
Don,MacLean,UCLA,1992,235lb,82,Palo Alto,California,319,10.9,3.8,1.3,45.5,28.4,76.5,46.5,15.1,9.4,,,
Rick,Mahorn,Hampton,1980,240lb,82,Hartford,Connecticut,1117,6.9,6.2,1,49.3,13.2,70.4,49.3,11.6,51.7,,,
Steve,Malovic,San Diego State,1979,230lb,82,Cleveland,Ohio,39,2.1,2.2,0.7,46.3,-,66.7,46.3,7.2,0.3,,,
Danny,Manning,Kansas,1988,230lb,82,Hattiesburg,Mississippi,883,14,5.2,2.3,51.1,20.6,72.9,51.3,16.9,55.1,,,
Sean,Marks,California,1999,250lb,82,Auckland,New Zealand,230,2.8,2.2,0.2,44.8,20,66.5,45.2,9.1,2.6,,,
Jarell,Martin,LSU,2015,239lb,82,Baton Rouge,Louisiana,184,5.4,3.5,0.6,43.4,34.6,76.6,47,10.5,3.2,,,
Mangok,Mathiang,Louisville,2017,230lb,82,Melbourne,Australia,4,2,2.5,0,57.1,-,0,57.1,18,0.1,,,
Walter,McCarty,Kentucky,1996,230lb,82,Evansville,Indiana,593,5.2,2.6,1.1,39.2,34.6,69.8,47.4,10.1,13.7,,,
Jelani,McCoy,UCLA,1999,245lb,82,Oakland,California,260,4.6,3.5,0.5,53.9,-,49,53.9,12.6,5.1,,,
Michael,McDonald,New Orleans,1998,232lb,82,Longview,Texas,1,0,1,0,-,-,-,-,-22.1,-0.1,,,
Mitch,McGary,Michigan,2014,255lb,82,Chesterton,Indiana,52,4.4,3.5,0.3,52.7,0,58,52.7,15.4,1.3,,,
Kevin,McHale,Minnesota,1980,210lb,82,Hibbg,Minnesota,971,17.9,7.3,1.7,55.4,26.1,79.8,55.5,20,113,,,
Josh,McRoberts,Duke,2007,240lb,82,Indianapolis,Indiana,433,5.4,3.9,2.1,46.3,34,70.5,51.3,13.2,18.5,,,
Scott,Meents,Illinois,1989,225lb,82,Kankakee,Illinois,39,1.8,1,0.4,36.1,100,70.4,36.8,11.2,0.1,,,
Joe,Meriweather,Southern Illinois,1975,215lb,82,Phenix City,Alabama,670,8.1,5.6,0.9,51.1,33.3,68.7,51.1,12.7,27.6,,,
Loren,Meyer,Iowa State,1995,257lb,82,Emmetsburg,Iowa,140,4.6,3.4,0.6,43.2,34.8,69.6,43.9,8.5,0.5,,,
Bob,Miller,Cincinnati,1984,230lb,82,Louisville,Kentucky,2,2,2.5,0.5,66.7,-,-,66.7,25,0.1,,,
Terry,Mills,Michigan,1990,230lb,82,Romulus,Michigan,678,10.6,5.4,1.3,45.7,38.4,78.1,50,14.7,33.3,,,
Nazr,Mohammed,Kentucky,1999,221lb,82,Chicago,Illinois,1005,5.8,4.7,0.4,48.6,0,64,48.6,15,34.3,,,
Jerome,Moiso,UCLA,2000,235lb,82,Paris,France,145,2.7,2.7,0.3,48.9,0,59.3,48.9,12.1,2.1,,,
Eric,Moreland,Oregon State,2014,238lb,82,Houston,Texas,83,1.9,3.7,1,53.7,100,39.4,54,13.3,2.3,,,
Darren,Morningstar,Pitt,1993,235lb,82,Stevenson,Washington,23,4.2,3.5,0.7,47.6,-,60,47.6,8.9,0.4,,,
Randolph,Morris,Kentucky,2007,266lb,82,Houston,Texas,74,1.9,1.4,0.1,42.6,-,54.5,42.6,6.4,-0.1,,,
Alonzo,Mourning,Georgetown,1992,240lb,82,Chesapeake,Virginia,838,17.1,8.5,1.1,52.7,24.7,69.2,52.9,21.2,89.7,,,
Erik,Murphy,Florida,2013,230lb,82,Lyon,France,24,0.3,0.3,0.1,23.1,0,-,23.1,0.2,-0.1,,,
Jerrod,Mustaf,Maryland,1990,238lb,82,Whiteville,North Carolina,179,4,2.5,0.6,44.9,0,64.8,44.9,10.7,1.7,,,
Larry,Nance Jr.,Clemson,1981,205lb,82,Anderson,South Carolina,920,17.1,8,2.6,54.6,14.5,75.5,54.6,19.9,109.6,,,
Larry,Nance,Clemson,1981,205lb,82,Anderson,South Carolina,920,17.1,8,2.6,54.6,14.5,75.5,54.6,19.9,109.6,,,
Kurt,Nimphius,Arizona State,1981,218lb,82,Milwaukee,Wisconsin,564,6.4,4.4,1.2,48.7,10,66.8,48.7,11.8,17.5,,,
Steve,Novak,Marquette,2006,225lb,82,Libertyville,Illinois,467,4.7,1.3,0.3,43.7,43,87.7,60.5,12.7,14.5,,,
Julius,Nwosu,Liberty,1994,255lb,82,Nkwere,Nigeria,23,1.3,1,0.1,32.1,-,76.5,32.1,6.8,0,,,
Lamar,Odom,Rhode Island,1999,220lb,82,Jamaica,New York,961,13.3,8.4,3.7,46.3,31.2,69.3,49.5,16.5,77,,,
Emeka,Okafor,UConn,2004,252lb,82,Houston,Texas,616,12,9.7,0.8,51.2,0,58.6,51.2,17,45.3,,,
Chinanu,Onuaku,Louisville,2016,245lb,82,Baltimore,Maryland,6,3,2.3,0.7,58.3,-,100,58.3,7.7,0.1,,,
Jose,Ortiz,Oregon State,1988,225lb,82,Albonito,Puerto Rico,64,2.9,1.1,0.3,44.3,33.3,59.6,44.6,9.4,0,,,
Daniel,Orton,Kentucky,2012,255lb,82,Oklahoma City,Oklahoma,51,2.8,2.5,0.5,48.5,0,59.7,48.5,11.9,1,,,
Tom,Owens,South Carolina,1971,215lb,82,Bronx,New York,877,11.3,6.8,1.7,51.3,21.7,74.3,51.4,16.7,61.5,,,
Adreian,Payne,Michigan State,2014,237lb,82,Dayton,Ohio,107,4,2.9,0.6,40.6,25.4,68,42.3,8,-0.6,,,
Mike,Peplowski,Michigan State,1993,270lb,82,Detroit,Michigan,68,2.9,2.6,0.4,55.6,0,53.1,55.6,9.8,1,,,
Jim,Petersen,Minnesota,1984,235lb,82,Mneapolis,Minnesota,491,6.9,4.8,1,48.6,7.1,72.5,48.6,11,13.8,,,
Richard,Petruska,UCLA,1993,260lb,82,Levice,Slovakia,22,2.4,1.4,0,43.5,46.7,75,51.1,12.3,0,,,
Kevinn,Pinkney,Nevada,2007,245lb,82,Colton,California,6,5.2,2.5,0.8,44.4,50,66.7,46.3,11.6,0.2,,,
Mark,Pope,Kentucky,1997,235lb,82,Omaha,Nebraska,153,1.9,1.7,0.4,40.1,17.9,57.3,41.9,6.4,1.3,,,
Dave,Popson,UNC,1988,220lb,82,Kgston,Pennsylvania,41,1.9,1.1,0.3,40.5,0,75,40.5,8.2,-0.1,,,
Vitaly,Potapenko,Wright State University,1996,280lb,82,Kiev,Ukraine,610,6.5,4.5,0.7,47.9,16.7,69.4,47.9,11.8,15.5,,,
Anthony,Pullard,McNeese State University,1992,245lb,82,DeQucy,Louisiana,8,2.1,1,0.3,44.4,-,33.3,44.4,9.2,-0.1,,,
Ivan,Rabb,California,2017,220lb,82,Sacramento,California,85,5.7,4.3,1,55.5,20,74.3,55.9,16.3,3.2,,,
Luke,Rackley,Xavier,1972,220lb,82,Babridge,Georgia,278,6.3,4.6,0.6,46.1,0,63.1,46.1,12.6,6,,,
Anthony,Randolph,LSU,2008,205lb,82,Worzbach,Germany,252,7.1,4.3,0.7,45.3,24.1,74,46,16.5,5.8,,,
Shavlik,Randolph,Duke,2005,240lb,82,Raleigh,North Carolina,146,2.3,2.5,0.2,44.9,16.7,54.4,45.1,12.6,2.2,,,
Theo,Ratliff,Wyoming,1995,225lb,82,Demopolis,Alabama,810,7.2,5.7,0.6,49.6,0,71,49.6,14.3,47.9,,,
Ramon,Rivas,Temple,1988,260lb,82,Carola,Puerto Rico,28,1.4,0.9,0.1,38.7,0,64,38.7,9.3,0,,,
Fred,Roberts,BYU,1983,218lb,82,Provo,Utah,818,7.3,2.8,1.2,50.2,32.5,79.6,50.8,12.6,26.2,,,
Thomas,Robinson,Kansas,2012,237lb,82,Washgton,District of Columbia,313,4.9,4.8,0.6,47,0,50.5,47,14,4.6,,,
