fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws,,,
Joakim,Noah,Florida, GSW,230lb,83,New York,New York,667,8.8,9.1,2.8,49.1,0,70,49.1,17.6,61.8,,,
Sylvester,Norris,Jackson State University,1979,220lb,83,Jackson,Mississippi,17,2.4,2.5,0.4,41.9,-,66.7,41.9,3.3,-0.2,,,
Daniel,Ochefu,Villanova,2016,245lb,83,Baltimore,Maryland,19,1.3,1.2,0.2,44.4,-,0,44.4,6.6,0,,,
Billy,Paultz,St. John's,1970,235lb,83,River Edge,New Jersey,1124,11.7,8,2,49.7,0,69,49.7,16.3,70.4,,,
Dexter,Pittman,Texas,2011,308lb,83,Rosenberg,Texas,50,2.3,1.8,0.2,45,-,54.5,45,9.1,0.5,,,
Miles,Plumlee,Duke,2012,249lb,83,Fort Wayne,Indiana,346,4.9,4.5,0.5,54.2,-,54.3,54.2,13.7,10.6,,,
Scot,Pollard,Kansas,1997,265lb,83,Murray,Utah,506,4.4,4.6,0.4,49.4,0,70.9,49.4,13.8,26.6,,,
Olden,Polynice,Virginia,1987,220lb,83,Port-au-Prce,Haiti,1058,7.8,6.7,0.7,50.5,19.2,53.5,50.6,13.2,46.8,,,
Craig,Raymond,BYU,1969,235lb,83,Aberdeen,Washington,241,6.9,6.3,1.4,45.2,0,63.1,45.2,10.9,7.5,,,
Jared,Reiner,Iowa,2004,255lb,83,Tripp,South Dakota,46,1.2,2.4,0.3,34.2,-,28.6,34.2,3.9,-0.2,,,
Rick,Robey,Kentucky,1978,230lb,83,Coral Gables,Florida,493,7.6,4.7,1.2,50.1,12.5,65,50.1,12.8,15.8,,,
Carlos,Rogers,Tennessee State,1994,220lb,83,Detroit,Michigan,298,7.4,4.3,0.6,53.6,25.8,56.2,54.5,15.4,11.1,,,
Doug,Roth,Tennessee,1989,255lb,83,Knoxville,Tennessee,42,1.9,2.9,0.5,43,0,50,43,8.2,0.4,,,
Clifford,Rozier,Louisville,1994,245lb,83,Bradenton,Florida,173,4.8,5.2,0.6,49.6,18.2,46.5,49.8,11.9,3.9,,,
Guy,Rucker,Iowa,2002,265lb,83,Inkster,Michigan,3,0,0.3,0.3,-,-,-,-,7.8,0,,,
John,Salley,Georgia Tech,1986,230lb,83,Brooklyn,New York,748,7,4.5,1.2,50.6,21.4,71.4,50.6,12.8,41.5,,,
JaKarr,Sampson,California,2003,235lb,83,Inglewood,California,72,2,3.4,0.4,49.1,0,53.7,49.1,13,1.4,,,
Jamal,Sampson,California,2003,235lb,83,Inglewood,California,72,2,3.4,0.4,49.1,0,53.7,49.1,13,1.4,,,
Larry,Sanders,Virginia Commonwealth,2010,235lb,83,Fort Pierce,Florida,238,6.4,5.7,0.7,48,0,55.3,48,15.4,10.3,,,
Dan,Schayes,Syracuse,1981,235lb,83,Syracuse,New York,1138,7.7,5,1.1,48.1,13.3,80.6,48.1,13.4,48.8,,,
Tom,Scheffler,Purdue,1984,240lb,83,St. Joseph,Michigan,39,1.3,1.9,0.3,41.2,-,50,41.2,6.9,0.2,,,
Rony,Seikaly,Syracuse,1988,230lb,83,Beirut,Lebanon,678,14.7,9.5,1.3,48.4,18.8,67.9,48.4,15.7,37.3,,,
John,Shasky,Minnesota,1988,235lb,83,Birmgham,Michigan,136,3.8,2.8,0.3,46.6,0,65.5,46.6,11.8,2.5,,,
Casey,Shaw,Toledo,1999,260lb,83,Lebanon,Ohio,9,0.2,0.3,0,12.5,-,-,12.5,-14.9,-0.1,,,
Jack,Sikma,Illinois Wesleyan University,1977,230lb,83,Kankakee,Illinois,1107,15.6,9.8,3.2,46.4,32.8,84.9,47.1,17.3,112.5,,,
Garret,Siler,Augusta State University,2010,305lb,83,Augusta,Georgia,21,2.1,1.3,0.1,54.8,-,50,54.8,13.5,0.1,,,
Jabari,Smith,LSU,2001,250lb,83,Atlanta,Georgia,108,3,1.6,0.6,41.3,12.5,69,41.4,9.7,1.3,,,
Jason,Smith,LSU,2001,250lb,83,Atlanta,Georgia,108,3,1.6,0.6,41.3,12.5,69,41.4,9.7,1.3,,,
